n t exp p1 p2 p3 p4 p22 p32 
108.0 0.0019524355 0.003207240907134226 0.014859335281896858 0.0020632928842711624 0.0020904360472462132 0.002152740761844814 0.00237384985576091 0.0023190977502440184 
109.0 0.002024391 0.003224480879563842 0.014996921716156637 0.002101678901015667 0.002125529052821998 0.0021876583045492156 0.0024047892922452302 0.0023474113159922434 
110.0 0.0020328284999999997 0.003241813522503089 0.015134508150416415 0.00214041870593293 0.002160952533747709 0.0022229050396260974 0.0024360003825926067 0.0023760420050934297 
111.0 0.0020772434999999996 0.0032592393340863694 0.015272094584676196 0.0021795122990229503 0.002196706618563257 0.0022584811017193965 0.0024674831268030393 0.002404992726936033 
112.0 0.002101591 0.0032767588151257202 0.015409681018935976 0.0022189596802857274 0.002232791435808554 0.002294386625473047 0.0024992375248765273 0.0024342663909085096 
113.0 0.0021455125 0.0032943724691252094 0.015547267453195757 0.0022587608497212633 0.0022692071140235108 0.0023306217455309856 0.0025312635768130723 0.0024638659063993145 
114.0 0.002179424 0.0033120808022954022 0.015684853887455535 0.002298915807329556 0.002305953781748039 0.0023671865965371472 0.002563561282612673 0.002493794182796905 
115.0 0.0022177829999999996 0.0033298843235679138 0.015822440321715318 0.002339424553110607 0.0023430315675220486 0.0024040813131354683 0.0025961306422753305 0.0025240541294897357 
116.0 0.0022593675 0.0033477835446100324 0.015960026755975094 0.0023802870870644147 0.0023804405998854522 0.002441306029969884 0.002628971655801043 0.0025546486558662633 
117.0 0.002299 0.0033657789798394273 0.016097613190234873 0.0024215034091909808 0.0024181810073781594 0.0024788608816843304 0.0026620843231898125 0.0025855806713149443 
118.0 0.0023748075000000002 0.00338387114643893 0.016235199624494656 0.0024630735194903037 0.0024562529185400833 0.002516746002922743 0.0026954686444416375 0.002616853085224234 
119.0 0.0023787975 0.0034020605643714005 0.016372786058754436 0.0025049974179623844 0.0024946564619111335 0.002554961528329057 0.0027291246195565192 0.0026484688069825886 
120.0 0.0024148375 0.0034203477563946694 0.01651037249301421 0.0025472751046072234 0.002533391766031222 0.002593507592547209 0.0027630522485344563 0.0026804307459784636 
121.0 0.002453144 0.003438733248076562 0.016647958927273995 0.002589906579424819 0.00257245895944026 0.0026323843302211336 0.00279725153137545 0.0027127418116003163 
