n t exp p1 p2 p3 p4 p32 p42 ap 
86.0 0.0031639855 0.006263942018586097 0.018421922372248323 0.0130681223529748 0.006170664570929931 0.010069891143150758 0.0029641216900638577 0.00247663349622229 0.0025166203590666946 
87.0 0.0032574535 0.006297191873816742 0.018636130770149608 0.013252008828286884 0.0062657661503981625 0.010148624368828138 0.003033455526243015 0.0025345644852496642 0.002570750399043474 
88.0 0.0032800525 0.006330618223796151 0.018850339168050893 0.013436260227758918 0.006361404503769306 0.010227927173733388 0.0031035909096612376 0.002593165196693539 0.0026255062198292335 
89.0 0.00331495 0.006364222005382435 0.019064547565952182 0.01362087240434591 0.006457579631042991 0.010307799557866504 0.0031745278403185256 0.002652435630553916 0.0026808878214239725 
90.0 0.0034281585 0.0063980041604066624 0.019278755963853467 0.01380584130420084 0.006554291532218855 0.010388241521227491 0.003246266318214879 0.0027123757868307936 0.002736895203827692 
91.0 0.003414412 0.0064319656356992775 0.019492964361754756 0.013991162963567803 0.006651540207296544 0.010469253063816342 0.003318806343350298 0.0027729856655241735 0.0027935283670403916 
92.0 0.003482533 0.006466107383116625 0.01970717275965604 0.014176833505811726 0.00674932565627571 0.010550834185633065 0.0033921479157247823 0.002834265266634054 0.0028507873110620715 
93.0 0.003563613 0.006500430359567638 0.019921381157557327 0.014362849138577246 0.0068476478791560155 0.010632984886677653 0.003466291035338332 0.0028962145901604364 0.0029086720358927317 
94.0 0.0036423845 0.006534935527040643 0.020135589555458615 0.014549206151069794 0.006946506875937132 0.010715705166950109 0.003541235702190947 0.00295883363610332 0.0029671825415323715 
95.0 0.0036697945000000003 0.00656962385263034 0.0203497979533599 0.014735900911452403 0.00704590264661873 0.010798995026450434 0.0036169819162826275 0.0030221224044627054 0.0030263188279809916 
96.0 0.004271756 0.006604496308564894 0.02056400635126119 0.014922929864352097 0.007145835191200494 0.010882854465178626 0.0036935296776133735 0.003086080895238592 0.0036935296776133726 
97.0 0.00440395 0.006639553872233192 0.020778214749162475 0.01511028952847025 0.007246304509682114 0.010967283483134686 0.003770878986183185 0.00315070910843098 0.0037539175256799534 
98.0 0.0044613414999999995 0.006674797526212234 0.02099242314706376 0.015297976494291429 0.007347310602063284 0.011052282080318616 0.0038490298419920615 0.0032160070440398693 0.003814931154555514 
99.0 0.004683525 0.006710228258294666 0.02120663154496505 0.015485987421885818 0.007448853468343706 0.011137850256730412 0.003927982245040004 0.0032819747020652605 0.003876570564240054 
100.0 0.004609827 0.006745847061516482 0.021420839942866334 0.015674319038800406 0.007550933108523088 0.011223988012370076 0.004007736195327011 0.003348612082507153 0.003938835754733575 
101.0 0.0046939555 0.006781654934184838 0.021635048340767623 0.015862968138034544 0.007653549522601143 0.011310695347237608 0.004088291692853084 0.0034159191853655466 0.004001726726036076 
102.0 0.0047426805 0.006817652879906041 0.021849256738668908 0.016051931576095694 0.0077567027105775906 0.01139797226133301 0.004169648737618222 0.0034838960106404414 0.004065243478147556 
103.0 0.0048102605 0.0068538419076136815 0.022063465136570194 0.016241206271131427 0.007860392672452154 0.011485818754656277 0.004251807329622426 0.0035525425583318383 0.004129386011068018 
104.0 0.004956514 0.0068902230315969005 0.022277673534471482 0.016430789201133944 0.007964619408224566 0.011574234827207413 0.004334767468865695 0.0036218588284397365 0.0041941543247974574 
105.0 0.004972273 0.006926797271528829 0.022491881932372768 0.016620677402213697 0.008069382917894559 0.011663220478986418 0.00441852915534803 0.0036918448209641358 0.0042595484193358795 
106.0 0.0051280585 0.0069635656524951565 0.022706090330274056 0.016810867966938765 0.008174683201461877 0.011752775709993288 0.00450309238906943 0.003762500535905037 0.004325568294683281 
107.0 0.005094412 0.0070005292050228695 0.02292029872817534 0.0170013580427369 0.00828052025892626 0.011842900520228029 0.004588457170029895 0.0038338259732624393 0.004392213950839662 
108.0 0.0051870054999999995 0.00703768896510913 0.023134507126076627 0.017192144830357307 0.00838689409028746 0.011933594909690638 0.004674623498229426 0.0039058211330363427 0.004459485387805023 
109.0 0.0054405485000000005 0.007075045974250316 0.023348715523977916 0.017383225582389413 0.008493804695545237 0.012024858878381114 0.004761591373668022 0.003978486015226748 0.004527382605579365 
110.0 0.005320311 0.00711260127947121 0.0235629239218792 0.01757459760183599 0.00860125207469934 0.012116692426299456 0.0048493607963456834 0.004051820619833655 0.004595905604162686 
111.0 0.0054474615 0.00715035593335434 0.02377713231978049 0.017766258240738176 0.008709236227749538 0.012209095553445667 0.004937931766262411 0.0041258249468570625 0.004665054383554988 
112.0 0.005444717 0.007188310994069491 0.02399134071768177 0.017958204898850014 0.008817757154695603 0.012302068259819748 0.005027304283418203 0.004200498996296972 0.004734828943756272 
113.0 0.005539758499999999 0.0072264675254033505 0.02420554911558306 0.0181504350223604 0.008926814855537299 0.012395610545421694 0.00511747834781306 0.004275842768153383 0.004805229284766533 
114.0 0.005597288 0.007264826596789334 0.02441975751348435 0.0183429461026602 0.009036409330274404 0.01248972241025151 0.005208453959446984 0.004351856262426295 0.004876255406585775 
115.0 0.0057093895 0.007303389283337559 0.024633965911385634 0.018535735675152678 0.0091465405789067 0.012584403854309194 0.005300231118319973 0.004428539479115709 0.004947907309213997 
116.0 0.0057457765 0.007342156665864964 0.024848174309286923 0.01872880131810529 0.00925720860143397 0.012679654877594745 0.005392809824432026 0.004505892418221625 0.005020184992651199 
117.0 0.0058492725 0.0073811298309256175 0.025062382707188205 0.018922140651541054 0.009368413397856 0.012775475480108163 0.0054861900777831455 0.004583915079744042 0.005093088456897382 
118.0 0.0061325895 0.007420309870841164 0.025276591105089494 0.01911575133616786 0.009480154968172583 0.012871865661849452 0.0055803718783733304 0.004662607463682959 0.005166617701952545 
119.0 0.006010028 0.007459697883731437 0.025490799502990782 0.019309631072344065 0.009592433312383512 0.012968825422818606 0.005675355226202581 0.004741969570038379 0.005240772727816687 
120.0 0.0060647185 0.007499294973545242 0.025705007900892068 0.01950377759907882 0.009705248430488584 0.013066354763015629 0.005771140121270896 0.004822001398810299 0.00531555353448981 
121.0 0.0061528475 0.007539102250091292 0.025919216298793357 0.019698188693065798 0.009818600322487605 0.01316445368244052 0.005867726563578277 0.004902702949998722 0.005390960121971911 
122.0 0.006220109 0.0075791208290693175 0.02613342469669464 0.019892862167748788 0.009932488988380374 0.01326312218109328 0.005965114553124724 0.004984074223603647 0.0054669924902629955 
123.0 0.006346965499999999 0.007619351832101336 0.026347633094595927 0.020087795872417977 0.0100469144281667 0.013362360258973907 0.006063304089910235 0.005066115219625072 0.005543650639363058 
124.0 0.0063663925 0.007659796386763082 0.026561841492497216 0.02028298769133562 0.0101618766418464 0.0134621679160824 0.006162295173934813 0.005148825938062998 0.005620934569272102 
125.0 0.006583679 0.0077004556266156215 0.0267760498903985 0.020478435542889882 0.01027737562941928 0.01356254515241876 0.006262087805198455 0.005232206378917426 0.005698844279990125 
126.0 0.0068107045 0.00774133069123711 0.02699025828829979 0.020674137378775794 0.010393411390885161 0.013663491967982992 0.006362681983701162 0.005316256542188356 0.005777379771517129 
127.0 0.0066400485 0.007782422726254746 0.02720446668620107 0.020870091183202204 0.010509983926243862 0.013765008362775092 0.006464077709442936 0.005400976427875786 0.005856541043853111 
128.0 0.0067420645 0.007823732883376868 0.02741867508410236 0.02106629497212368 0.010627093235495206 0.013867094336795059 0.0065662749824237756 0.005486366035979719 0.005936328096998075 
129.0 0.0068192570000000004 0.007865262320425238 0.02763288348200365 0.02126274679249647 0.01074473931863902 0.013969749890042895 0.006669273802643679 0.005572425366500153 0.00601674093095202 
130.0 0.0069854595 0.007907012201367497 0.027847091879904935 0.02145944472155748 0.010862922175675131 0.014072975022518594 0.006773074170102649 0.005659154419437088 0.006097779545714942 
131.0 0.0069930135 0.007948983696349781 0.028061300277806223 0.021656386866125466 0.010981641806603368 0.014176769734222163 0.006877676084800684 0.005746553194790525 0.006179443941286847 
132.0 0.0070867165 0.007991177981729526 0.028275508675707505 0.021853571361923563 0.011100898211423566 0.014281134025153602 0.006983079546737784 0.005834621692560463 0.00626173411766773 
133.0 0.007517739 0.008033596240108423 0.028489717073608794 0.022050996372922353 0.011220691390135562 0.01438606789531291 0.007089284555913951 0.005923359912746903 0.006344650074857595 
134.0 0.007220674 0.008076239660365584 0.028703925471510083 0.022248660090702647 0.011341021342739193 0.014491571344700084 0.007196291112329181 0.0060127678553498435 0.00642819181285644 
135.0 0.007315881 0.008119109437690848 0.028918133869411368 0.022446560733837367 0.0114618880692343 0.014597644373315124 0.007304099215983478 0.006102845520369286 0.006512359331664264 
136.0 0.007434937500000001 0.008162206773618284 0.029132342267312657 0.022644696547291666 0.011583291569620728 0.014704286981158034 0.00741270886687684 0.00619359290780523 0.006597152631281068 
137.0 0.00748128 0.008205532876059867 0.02934655066521394 0.022843065801840735 0.01170523184389832 0.01481149916822881 0.007522120065009267 0.006285010017657675 0.006682571711706853 
138.0 0.007616016 0.008249088959339332 0.029560759063115227 0.02304166679350461 0.011827708892066925 0.014919280934527457 0.007632332810380759 0.006377096849926622 0.006768616572941618 
139.0 0.0076643475 0.008292876244226213 0.029774967461016516 0.023240497842999325 0.011950722714126392 0.015027632280053972 0.007743347102991319 0.00646985340461207 0.006855287214985362 
140.0 0.008110834 0.008336895957970054 0.0299891758589178 0.023439557295203924 0.012074273310076574 0.015136553204808355 0.007855162942840941 0.006563279681714019 0.0069425836378380875 
141.0 0.007926974 0.008381149334334804 0.03020338425681909 0.02363884351864263 0.012198360679917327 0.015246043708790602 0.007967780329929631 0.006657375681232471 0.007030505841499792 
142.0 0.008041717 0.008425637613633396 0.030417592654720372 0.023838354904981752 0.012322984823648504 0.01535610379200072 0.008081199264257386 0.006752141403167423 0.007119053825970477 
143.0 0.0079991245 0.008470362042762518 0.03063180105262166 0.024038089868540752 0.012448145741269966 0.015466733454438704 0.008195419745824205 0.0068475768475188764 0.007208227591250143 
144.0 0.008085292 0.008515323875237553 0.03084600945052295 0.024238046845816996 0.012573843432781572 0.015577932696104557 0.008310441774630091 0.006943682014286832 0.0072980271373387865 
145.0 0.008217786 0.008560524371227715 0.031060217848424235 0.02443822429502369 0.012700077898183183 0.01568970151699828 0.008426265350675042 0.007040456903471289 0.007388452464236412 
146.0 0.008290101 0.008605964797591362 0.031274426246325523 0.02463862069564057 0.012826849137474665 0.01580203991711987 0.008542890473959057 0.0071379015150722465 0.007479503571943018 
147.0 0.008804741500000001 0.00865164642791152 0.031488634644226805 0.02483923454797691 0.012954157150655884 0.015914947896469325 0.008660317144482139 0.007236015849089706 0.007571180460458603 
