n t exp p1 p2 p3 p4 p22 p32 
167.0 0.012339817999999999 0.009617954272912621 0.04949559052727687 0.01041963500882514 0.011556303264144625 0.01767682219668517 0.010819402202315248 0.010708516628805585 
168.0 0.0103878255 0.009669007680852928 0.049791971302581596 0.010544794655581812 0.011673424053106648 0.017799472887098114 0.010935978475535077 0.01083414003673255 
169.0 0.01049809 0.009720332087218508 0.05008835207788632 0.010670701524107125 0.011791153077948686 0.0179224244991404 0.011053219692414885 0.010960891867557696 
170.0 0.010632652 0.009771928930505823 0.050384732853191054 0.010797355614401078 0.011909490998252713 0.01804567882401219 0.011171125852954667 0.011088778838083894 
171.0 0.010711063 0.00982379965684706 0.05068111362849578 0.010924756926463672 0.012028438473600704 0.018169237652913676 0.01128969695715443 0.011217807665114035 
172.0 0.0107842175 0.009875945720050686 0.050977494403800505 0.011052905460294906 0.01214799616357464 0.01829310277704503 0.01140893300501417 0.011347985065450997 
173.0 0.011207624499999999 0.009928368581642165 0.05127387517910524 0.011181801215894785 0.012268164727756492 0.01841727598760643 0.011528833996533887 0.011479317755897667 
174.0 0.011490788 0.009981069710904945 0.05157025595440996 0.011311444193263302 0.012388944825728236 0.018541759075798053 0.011649399931713583 0.01161181245325692 
175.0 0.011114843000000001 0.010034050584921636 0.0518666367297147 0.01144183439240046 0.012510337117071852 0.018666553832820086 0.011770630810553254 0.011745475874331647 
176.0 0.011337984499999999 0.010087312688615393 0.05216301750501943 0.011572971813306259 0.012632342261369311 0.01879166204987269 0.011892526633052906 0.011880314735924725 
177.0 0.011332497 0.010140857514791548 0.05245939828032415 0.011704856455980699 0.012754960918202591 0.01891708551815606 0.012015087399212537 0.012016335754839045 
178.0 0.0114444595 0.01019468656417945 0.052755779055628886 0.01183748832042378 0.01287819374715367 0.019042826028870367 0.01213831310903214 0.012153545647877479 
179.0 0.0115901765 0.010248801345474515 0.05305215983093361 0.011970867406635504 0.01300204140780452 0.01916888537321579 0.012262203762511728 0.012291951131842917 
