n,gen,seq,prom
330,0.001545216,0.037502274,0.01805612
331,0.001554178,0.037737911,0.01814345
332,0.0015526575,0.0380228265,0.0182699615
333,0.001560836,0.0381503,0.0183662515
334,0.0015650295,0.0382857365,0.0184941985
335,0.0015700915,0.038519243,0.01858174
336,0.001577367,0.0386525775,0.0187059925
337,0.001581762,0.039036186,0.018835114
338,0.001586269,0.0391026845,0.0189195625
339,0.0015863295,0.0394283355,0.0190803415
340,0.0015912965,0.039541628,0.01916049
341,0.0015989385,0.039728557,0.019290202
342,0.0016008255,0.0398226765,0.0193889035
343,0.0016086105,0.0400411365,0.0195327815
344,0.0016112915,0.040272493,0.0196178415
345,0.001617318,0.0405082345,0.0197219485
346,0.0016166985,0.0406850535,0.0198739825
347,0.0016197575,0.0408493125,0.0199489285
348,0.001626434,0.0411465235,0.020101089
349,0.0016311635,0.0413403485,0.0201814325
350,0.0016427405,0.0414659485,0.0203229505
351,0.001652727,0.0417415475,0.020399177
352,0.0016478235,0.0418636865,0.020506904
353,0.001649689,0.042094452,0.0206353205
354,0.0016589565,0.042276363,0.020763932
355,0.0016688095,0.04246952,0.0208940235
356,0.001661434,0.042617245,0.0209594665
357,0.00167245,0.0429421465,0.021144595
358,0.001673539,0.043095548,0.021222164
359,0.00167287,0.0433008525,0.021354164
360,0.001686025,0.0434700665,0.021459067
361,0.001693261,0.043696522,0.0216047145
362,0.001690359,0.043846852,0.021707691
363,0.0016924325,0.044140498,0.0218219125
364,0.001702268,0.0442937055,0.0219222845
365,0.0017168955,0.0446080645,0.0220677855
366,0.001720308,0.044750366,0.022188195
367,0.0017214055,0.044991915,0.0223238195
368,0.001713792,0.0452319615,0.0224538255
369,0.0017284505,0.045325812,0.022535706
370,0.001734256,0.045605694,0.022680493
371,0.0017365995,0.045807709,0.022794598
372,0.001742947,0.046013171,0.0229083635
373,0.0017432265,0.0462244365,0.023014226
374,0.0017460675,0.046426886,0.0231898725
375,0.001753394,0.046665568,0.0232834695
376,0.001756678,0.0468687635,0.023453863
377,0.0017689825,0.0471437535,0.0235490455
378,0.001772451,0.0472525225,0.023642482
379,0.0017733835,0.0474433135,0.02378021
380,0.0017764255,0.0477348165,0.023893701
381,0.0017872305,0.047914114,0.0240077685
382,0.001792904,0.0483522385,0.024126397
383,0.0017916325,0.048460936,0.0242418695
384,0.0018038515,0.0569302385,0.0244011775
385,0.0018009835,0.058945837,0.024533972
386,0.001805532,0.0592168795,0.024633519
387,0.0018060995,0.059342695,0.024802029
388,0.0018198595,0.0595330555,0.024930826
389,0.0018189455,0.05992745,0.025082117
390,0.001820494,0.060159216,0.025165071
391,0.001836141,0.0604131255,0.025310217
392,0.0018381325,0.0606764915,0.025444451
393,0.001839016,0.060775109,0.025580591
394,0.00184471,0.0611937935,0.0257440805
395,0.001838861,0.061439173,0.025890886
396,0.001849802,0.0615847515,0.026027969
397,0.001861474,0.061921322,0.0261227525
398,0.001863856,0.0621353355,0.026243936
399,0.001870638,0.062425756,0.026392367
400,0.0018695155,0.0626563215,0.0265108505
401,0.001870538,0.0628340385,0.0266858655
402,0.0018792375,0.0632012805,0.026794414
403,0.0018820835,0.0633908845,0.0268885325
404,0.0018871415,0.0636793645,0.02705441
405,0.0018924395,0.064026722,0.0272024515
406,0.001894321,0.064272395,0.027358361
407,0.001908308,0.0645315255,0.0275072745
408,0.001909761,0.0647372255,0.0275983055
409,0.0019176005,0.064980498,0.0277690285
410,0.001914838,0.065324524,0.0279062875
411,0.0019243485,0.065517199,0.027986494
412,0.001923124,0.065842304,0.0281403
413,0.001928812,0.0660788605,0.0282560915
414,0.001926951,0.066290114,0.02843107
415,0.001943908,0.066604898,0.028592068
416,0.001947274,0.0667267975,0.0286730235
417,0.0019540155,0.0670517505,0.028880362
418,0.001953591,0.0673886335,0.0290327385
419,0.0019578455,0.067569726,0.029103515
420,0.001973104,0.068013994,0.029301045
421,0.001972425,0.068254023,0.0294408235
422,0.001975841,0.0684721375,0.0296016205
423,0.0019908935,0.068804728,0.0297411915
424,0.0019801635,0.069159909,0.0299082555
425,0.0019951865,0.069273171,0.0300228045
426,0.0020001355,0.069403568,0.0301702
427,0.0020005315,0.069834327,0.030327732
428,0.002005659,0.070008971,0.0304253075
429,0.002015276,0.070380931,0.030607728
430,0.002010673,0.0706162945,0.0307342475
